jd_night,sindex
2439369.7998,0.1811
2439370.7998,0.1823
2439371.7998,0.1817
2439391.7998,0.1825
2439392.7998,0.1832
2439422.7998,0.1806
2439423.7998,0.1791
2439486.7998,0.1805
2439487.7998,0.1776
2439516.7998,0.1859
2439548.7998,0.1812
2439549.7998,0.1881
2439550.7998,0.1902
2439596.7998,0.1703
2439597.7998,0.1736
2439666.7998,0.1655
2439667.7998,0.1704
2439668.7998,0.164
2439669.7998,0.1649
2439691.7998,0.1669
2439692.7998,0.1724
2439694.7998,0.1734
2439719.7998,0.1615
2439720.7998,0.1698
2439721.7998,0.1718
2439722.7998,0.1855
2439723.7998,0.1842
2439786.7998,0.1824
2439787.7998,0.1808
2439886.7998,0.1863
2440011.80005,0.1949
2440037.80005,0.1735
2440046.80005,0.173
2440048.80005,0.183
2440068.80005,0.1861
2440077.80005,0.1844
2440079.80005,0.1824
2440105.80005,0.1726
2440106.80005,0.1841
2440107.80005,0.1797
2440129.80005,0.1765
2440167.80005,0.1754
2440168.80005,0.1769
2440169.80005,0.1801
2440201.80005,0.1796
2440202.80005,0.1838
2440223.80005,0.1805
2440224.80005,0.1776
2440252.80005,0.1818
2440253.80005,0.1816
2440254.80005,0.187
2440284.80005,0.1974
2440285.80005,0.1913
2440311.80005,0.1824
2440312.80005,0.1918
2440340.80005,0.1779
2440341.80005,0.1812
2440342.80005,0.1741
2440456.80005,0.1744
2440457.80005,0.1797
2440517.80005,0.186
2440519.80005,0.1785
2440573.80005,0.1876
2440611.80005,0.1879
2440612.80005,0.1885
2440662.80005,0.1879
2440663.80005,0.1924
2440664.80005,0.1885
2440665.80005,0.1835
2440687.80005,0.1773
2440688.80005,0.1761
2440725.80005,0.1806
2440726.80005,0.1748
2440843.80005,0.1859
2441041.80005,0.1812
2441052.80005,0.1829
2441133.80005,0.1736
2441134.80005,0.1722
2441135.80005,0.1758
2441136.80005,0.1843
2442110.80005,0.171
2442167.80005,0.175
2442168.80005,0.1684
2442169.80005,0.1807
2442259.80005,0.1668
2442260.80005,0.1774
2442261.80005,0.1643
2442262.80005,0.1662
2442283.80005,0.1664
2442284.80005,0.1651
2442285.80005,0.1718
2442344.5,0.1685
2442345.5,0.169
2442349.80005,0.1699
2442350.80005,0.1674
2442380.80005,0.1672
2442382.80005,0.1742
2442438.80005,0.1598
2442440.80005,0.1633
2442467.80005,0.1728
2442468.80005,0.1731
2442469.80005,0.1693
2442470.80005,0.1767
2442474.5,0.1686
2442495.80005,0.1728
2442497.80005,0.1652
2442498.80005,0.1702
2442557.80005,0.1672
2442559.80005,0.1751
2442590.80005,0.1704
2442613.80005,0.1688
2442614.80005,0.1726
2442615.80005,0.1754
2442616.80005,0.1702
2442644.80005,0.169
2442645.80005,0.1761
2442646.80005,0.1781
2442647.80005,0.1761
2442675.80005,0.1758
2442676.80005,0.1668
2442677.80005,0.1684
2442678.80005,0.1661
2442702.80005,0.1692
2442703.80005,0.1744
2442704.80005,0.1732
2442731.80005,0.1698
2442732.80005,0.1662
2442756.5,0.1698
2442757.5,0.1698
2442763.80005,0.1676
2442764.5,0.1713
2442764.80005,0.1674
2442765.80005,0.1762
2442783.5,0.1689
2442792.80005,0.1733
2442793.80005,0.1657
2442794.80005,0.1653
2442808.5,0.1681
2442819.80005,0.1641
2442820.80005,0.1638
2442821.80005,0.1675
2442848.80005,0.1675
2442849.80005,0.1672
2442850.80005,0.1664
2442851.80005,0.1633
2442873.5,0.1681
2442885.80005,0.1669
2442910.80005,0.1737
2442911.80005,0.1651
2442912.80005,0.1688
2442913.80005,0.1709
2442926.5,0.1676
2442940.80005,0.1641
2442973.80005,0.1643
2443001.5,0.1702
2443036.5,0.1686
2443060.79999,0.1614
2443062.79999,0.1598
2443102.5,0.1667
2443103.5,0.1677
2443111.5,0.1707
2443111.79999,0.1665
2443112.79999,0.1706
2443113.79999,0.1633
2443114.5,0.1662
2443116.5,0.1758
2443119.5,0.1754
2443120.5,0.1672
2443122.5,0.1688
2443131.5,0.1722
2443134.5,0.1721
2443146.79999,0.1719
2443149.5,0.1688
2443159.5,0.1699
2443168.5,0.1744
2443169.5,0.1733
2443170.5,0.1669
2443172.79999,0.1668
2443173.79999,0.1726
2443174.5,0.1698
2443174.79999,0.1644
2443175.5,0.1671
2443175.79999,0.1688
2443176.79999,0.1663
2443177.5,0.165
2443178.5,0.1684
2443180.5,0.1728
2443182.5,0.1766
2443183.5,0.1682
2443185.5,0.1686
2443186.5,0.1613
2443187.5,0.1716
2443188.5,0.1682
2443189.5,0.1694
2443191.5,0.1678
2443193.5,0.1667
2443193.5,0.1695
2443197.5,0.1676
2443202.5,0.1663
2443203.79999,0.1655
2443204.5,0.1698
2443204.79999,0.1672
2443205.5,0.1681
2443205.79999,0.1704
2443206.79999,0.1668
2443207.5,0.1653
2443208.5,0.1712
2443213.5,0.1713
2443222.5,0.1668
2443223.5,0.1667
2443225.5,0.1757
2443226.5,0.175
2443234.5,0.169
2443235.5,0.1689
2443236.79999,0.1679
2443237.5,0.169
2443237.79999,0.1685
2443239.5,0.1713
2443239.79999,0.1751
2443240.5,0.1686
2443241.5,0.1688
2443244.5,0.1686
2443244.5,0.1669
2443245.5,0.171
2443253.5,0.1698
2443254.5,0.1688
2443264.5,0.169
2443264.5,0.1758
2443269.5,0.1744
2443270.5,0.1721
2443272.5,0.1731
2443273.5,0.1704
2443301.5,0.1724
2443318.5,0.1747
2443320.5,0.1757
2443331.5,0.17
2443365.5,0.1706
2443394.5,0.1719
2443395.5,0.1742
2443398.5,0.1741
2443403.5,0.175
2443406.5,0.1738
2443421.5,0.1734
2443439.5,0.1721
2443444.5,0.1728
2443446.5,0.1742
2443447.5,0.1742
2443448.5,0.175
2443449.5,0.1747
2443450.5,0.1752
2443469.5,0.1725
2443470.5,0.1722
2443472.5,0.1705
2443480.5,0.1747
2443481.5,0.175
2443482.5,0.1752
2443483.5,0.1754
2443489.5,0.1747
2443510.5,0.1823
2443511.5,0.1824
2443512.5,0.1821
2443513.5,0.1798
2443516.5,0.1732
2443563.5,0.1879
2443581.5,0.1791
2443584.5,0.1821
2443603.5,0.1825
2443604.5,0.1825
2443605.5,0.1838
2443605.5,0.1926
2443615.5,0.1802
2443616.5,0.1809
2443624.5,0.1817
2443626.5,0.1834
2443631.5,0.1868
2443632.5,0.1854
2443647.5,0.1829
2443648.5,0.1824
2443658.5,0.1847
2443659.5,0.183
2443660.5,0.1818
2443661.5,0.1809
2443662.5,0.1779
2443663.5,0.1778
2443693.5,0.1783
2443695.5,0.1789
2443708.5,0.1842
2443753.5,0.1805
2443755.5,0.1807
2443782.5,0.1822
2443789.5,0.1817
2443791.5,0.1835
2443792.5,0.1837
2443793.5,0.1847
2443795.5,0.1892
2443810.5,0.1913
2443811.5,0.1911
2443817.5,0.1896
2443829.5,0.1841
2443830.5,0.1779
2443831.5,0.178
2443853.5,0.1908
2443856.5,0.1882
2443863.5,0.1802
2443864.5,0.1797
2443868.5,0.1858
2443875.5,0.1948
2443877.5,0.1951
2443886.5,0.1879
2443910.5,0.1977
2443911.5,0.1981
2443912.5,0.1972
2443937.5,0.1965
2443938.5,0.1955
2443939.5,0.1946
2443940.5,0.1936
2443957.5,0.1806
2443966.5,0.1958
2443967.5,0.1929
2443968.5,0.1906
2443978.5,0.1981
2443980.5,0.191
2443993.5,0.194
2444006.5,0.1951
2444006.5,0.1919
2444007.5,0.1901
2444008.5,0.1927
2444009.5,0.1891
2444030.5,0.1972
2444031.5,0.1988
2444056.5,0.1944
2444057.5,0.1958
2444059.5,0.1984
2444063.5,0.1962
2444091.5,0.1842
2444093.5,0.1847
2444112.5,0.1945
2444116.5,0.1948
2444120.5,0.188
2444121.5,0.1884
2444122.5,0.1887
2444149.5,0.1882
2444152.5,0.1899
2444177.5,0.1941
2444186.5,0.2059
2444206.5,0.1861
2444217.5,0.2059
2444220.5,0.2074
2444240.5,0.1981
2444242.5,0.2019
2444281.5,0.1936
2444290.5,0.1765
2444292.5,0.1801
2444295.5,0.1936
2444300.5,0.1966
2444302.5,0.1953
2444303.5,0.1932
2444324.5,0.2004
2444347.5,0.1875
2444348.5,0.192
2444354.5,0.1941
2444355.5,0.1941
2444363.5,0.1948
2444364.5,0.196
2444366.5,0.197
2444376.5,0.1951
2444394.5,0.191
2444395.5,0.1899
2444396.5,0.1877
2444397.5,0.188
2444420.5,0.189
2444422.5,0.1868
2444452.5,0.1854
2444454.5,0.1834
2444455.5,0.1823
2444478.5,0.1916
2444479.5,0.1875
2444483.5,0.1918
2444485.5,0.1941
2444513.5,0.1922
2444514.5,0.1927
2444515.5,0.1932
2444516.5,0.1925
2444549.5,0.2002
2444549.5,0.2013
2444550.5,0.2005
